Chinese term,English term,Synonyms,Chinese synonyms
酒癖,Alcohol-induced masses,,酒癥
脾瘅,Spleen heat,,
脾水,Oedema due to spleen deficiency,,
脾消,Wasting of the spleen,,脾痟
膈疝,Diaphragmatic hernia,,
食管瘅,Reflux oesophagitis,,
食管痹,Oesophageal achalasia,,
胰胀,Pancreatic distension,,
胰瘅,Pancreas heat,,
胰痈,Pancreatic abscess,,
肠郁,Irritable bowel pattern,,
肠痹,Functional intestinal obstruction,,
肠结,Intestinal obstruction,,
肠痈,Intestinal abscess,Intestinal abscess disorder,
小肠瘅,Acute haemorrhagic necrotizing enterocolitis,,
萎黄病,Iron deficiency anaemia,,
肺系病,Lung system diseases,Lung system disorders,
外感咳嗽,Cough due to external contraction,Cough upon exposure to exogenous factors,
内伤咳嗽,Cough due to internal dysfunctions,Cough due to endogenous factors,
暴咳病,Fulminant cough,,暴咳
久咳病,Chronic cough,,久咳
肺瘅,Lung heat,Lung heat disorder,肺热病
哮喘病,Asthma,,哮喘
哮病,Wheezing,Wheezing disorder Wheezing pattern,哮证
喘病,Dyspnoea,Dyspnoea disorder Dyspnoea pattern,喘证
暴喘,Fulminant wheezing,,
肺痿,Atrophy of the lung lobes,,
肺痈,Lung abscess,,
肺胀,Lung distension,Lung distension disorder,
尘肺,Pneumoconiosis,,
肺水病,Pleural effusion,,
肺厥,Pulmonary syncope,,
肾系病,Kidney system disorders,Kidney system disorders,
淋证,Strangury,Strangury disorders,
气淋,Qi strangury,,
热淋,Heat strangury,Heat stranguria disorder; Damp heat stranguria; acute stranguria,🗎热淋；急淋
血淋,Blood strangury,,
膏淋,Unctuous strangury,Chyluria,乳糜尿
劳淋,Fatigue strangury,,
石淋,Stone strangury,Stony stranguria disorder,
精癃,Prostate enlargement,,
遗尿,Enuresis,Enuresis disorder,
小便不禁,Urinary incontinence,,
尿崩,Profuse urination (diabetes insipidus),,
癃闭,Urinary retention,,
肾水病,Kidney water,Kidney wind,肾风
关格,Urinary block and vomiting,,
肾瘅,Kidney heat,Kidney heat disorder,
肾痈,Renal abscess,,
肾垂,Kidney prolapse,,
肾厥,Kidney syncope,,
强中,Persistent erection,Persistent erection disorder,阳强
缩阴病,Genital retraction,,缩阴
情志病类,Emotional disorders,,
郁病,Depression,Depression disorder; Depressive disorder; Melancholy disorder,郁证
脏躁,Hysteria,,
卑惵,Low self-esteem,,
气血津液病类,"Disorders of qi, blood and bodily fluids","Qi, blood and fluid disorders",
虚劳类病,Deficiency/ consumption,,虚劳；虚劳病
虚损,Chronic consumptive conditions,Consumptive disorder,
黑疸,Darkening of the skin,Primary adrenal insufficiency,
髓劳,Aplastic anaemia,Exhaustion of marrow,
内伤发热病,Fever due to internal dysfunctions,,
晕动病,Motion sickness,Car sickness Seasickness,注车；注船
厥脱类病,Syncope/fainting,,
厥病,Syncope,Syncope disorder,厥证
气厥,Qi syncope,Qi syncope disorder,郁厥
痰厥,Phlegm syncope,Phlegm syncope disorder,
寒厥,Cold syncope,Cold syncope disorder; Yin syncope,阴厥；冷厥
热厥,Heat syncope,Yang syncope,阳厥
食厥,Over-eating-induced syncope,Crapulent syncope disorder,
酒厥,Alcoholic syncope,,
风厥,Wind syncope,,
薄厥,Flopping syncope,,
血厥,Blood syncope,Blood syncope disorder,脉厥
饥厥,Hunger syncope,Hunger syncope disorder,
尸厥,Sudden syncope,,
血溢类病,Bleeding disorders,,溢血病
肠风,Intestinal wind (bloody stools),,
紫癜病,Purpura,,葡萄疫
痰饮类病,Phlegm-fluid disorders,,
痰饮,Phlegm-fluid retention,,
支饮,Thoracic fluid retention,,
溢饮,Subcutaneous fluid retention,,
悬饮,Pleural fluid retention,Pleural fluid retention disorder,
水肿类病,Oedema,Oedema disorders,
阳水,Yang oedema,,
阴水,Yin oedema,,
风水,Wind oedema,Wind oedema disorder,
皮水,Skin oedema,,
石水,Stony oedema,,
正水,Generalized oedema,,
汗类病,Sweating disorders,,
自汗,Spontaneous sweating,,
盗汗,Night sweats,,
黄汗,Yellow sweating,,
血汗,Bloody sweating,,汗血；血箭
消渴类病,Wasting and thirst disorders,Wasting thirst disorder,消渴
上消,Wasting of the upper jiao,Diaphragm wasting,膈消
中消,Wasting of the middle jiao,Spleen/stomach wasting,消中；痟中；消脾；胃消
下消,Wasting of the lower jiao,Kidney wasting,肾消；痟肾；消肾
头身形体病类,Disorders of different body parts,Other body system disorders,
颅脑类病,Brain diseases,Brain system disorders,
中风病,Wind stroke,Wind stroke disorders; Apoplexy,中风；卒中
急风病,Acute wind stroke,,卒中急风
口僻,Deviation of the mouth corner,Facial palsy,面瘫
风痱,Hemiplegia,Post-stroke disability,喑痱
头风病,Head wind,Head wind disorder; Headache,头痛病
偏头风,Hemilateral head wind,Migraine disorder; Migraine pain disorder; Migraine,偏头痛
厥头痛,True headache,,真头痛
雷头风,Thunder head wind,,
面风痛,Facial pain,Trigeminal neuralgia,面痛
脑鸣,Ringing in the brain,Tinnitus cerebri,
颤病,Brain wind,Parkinson’s disease,脑风；颤症
脑萎,Cerebral atrophy,,
瘿类病,Thyroid disorders,,
瘿肿,Goiter,,
气瘿,Qi goiter,Qi goiter disorder,
瘿气,Hyperthyroidism,,
肉瘿,Fleshy goiter,,
筋瘿,Sinew goiter,,
侠瘿瘤,Hyperparathyroidism,,侠瘿瘅
瘿痈,Thyroiditis,,
瘿劳,Hypothyroidism,,劳瘿
乳房类病,Breast diseases,,
乳痈,Acute mastitis,,乳吹
乳发,Acute septic mastitis,Shell-bursting pyogenic abscess,脱壳乳痈
乳疽,Breast abscess,,
乳漏,Mammary duct fistula,,乳瘘
乳癖,Breast lumps,,
乳核,Breast nodules,,
乳疬,Gynecomastia,,
乳头风,Nipple eczema,,乳头破碎
乳衄,Nipple discharge,,
乳泣,GaIactorrhoea,,
乳悬,Sagging breasts,,
疝气,Hernia,,疝气
狐疝,Inguinal hernia,,
水疝,Hydrocele testis,,
血疝,Haematocele,,
筋疝,Varicocele,,
痹证类病,Bi-impediment disorders,Impediment disorders; Joint impediment disorders Bi-impediment disease/pattern,痹病；痹证
风寒🗎痹,Wind-cold-dampness impediment,,
行痹,Migratory impediment,Wind impediment disorder; Moving impediment disorder Migrating painful movement disorder Migratory impediment Wind hindrance disorder Wind impediment,风痹
痛痹,Painful impediment,Cold impediment disorder; Painful impediment disorder Cold hindrance disorder Cold impediment,寒痹
着痹,Fixed impediment,Dampness impediment disorder; Fixed impediment disorder Dampness hindrance disorder Dampness impediment,🗎痹
热痹,Heat impediment,,
尪痹,Joint impediment,Rheumatoid arthritis,
皮痹,Skin impediment,,
肉痹,Muscle impediment,,肌痹
筋痹,Sinew impediment,,
脉痹,Vessel impediment,,
骨痹,Bone impediment,,
血痹,Blood impediment,Raynaud’s syndrome,
偏痹,Sciatica,,
周痹,Generalized impediment,,
顽痹,Intractable impediment,,
历节风,Joint wind,,
腰痹,Low back impediment,Lower back pain disorder; Lumbago disorder,
肾着,Lower back pain due to cold dampness,,寒🗎腰痛
大偻,Ankylosing spondylitis,,
膝痹,Knee impediment,,
腿风,Restless legs pattern,,
足跟痹,Heel pain,,
转筋,Leg cramp,Muscle cramp disorder; Muscle spasm disorder,（腓腨）转筋
痛风,Gout,,
燥痹,Dryness-related impediment,,
痿证类病,Wei-flaccidity disorders,Flaccidity disorder; Wilting disorder; Wei-flaccidity pattern,痿证
痿躄,Lower limb weakness and flaccidity,,
肌痿,Muscle flaccidity,,肉痿；脾痿
痿痹,Wei-flaccidity,Limb flaccidity,肢痿
筋痿,Limb flaccidity,Peripheral neuropathy,
骨痿,Bone flaccidity,,
脉痿,Heart vessel flaccidity,,心痿
骨蚀,Bone lesion,,
脚气病,Beriberi,,
干脚气,Dry beriberi,,
🗎脚气,Wet beriberi,,
脚气冲心,Cardiac beriberi,,
干燥病,Xerosis,,干燥症
侏儒,Short stature,,
肥胖病,Obesity,,
糙皮病,Rough skin condition,Pellagra,
大脚风,Elephant skin-like leg,Lymphatic filariasis,象皮腿
皮肤粘膜病类,Disorders of the skin and mucous membrane,Skin and mucosa system disorders,
皮肤类病,Skin conditions,,
蛇串疮,Snake-shaped sore,Shingles Herpes zoster,蛇丹；缠腰火丹；带状疱疹
黄水疮,Yellow-water sore,Impetigo disorder,浸淫疮；滴脓疮；脓窝疮
疣目,Warts,,千日疣；枯筋箭
扁瘊,Flat warts,,
鼠乳,Infectious warts,,水瘊
线瘊,Thread-like warts,,
臊疣,Condyloma,,瘙瘊
肛门臊疣,Perianal condyloma,,
外阴臊疣,Genital condyloma,,
癣,Tinea,Ringworm,癣病
白秃疮,White ringworm,,
肥疮,Scalp ringworm,,癞头疮
鹅掌风,Tinea manuum,,
脚🗎气,Tinea pedis,Athlete’s foot,臭田螺
田螺疱,Tinea pedis,,
脚蚓,Keratotic tinea pedis,,
脚气疮,Ringworm of the leg,,
圆癣,Tinea corporis,Tinea corporis disorder; Coin-shaped tinea,钱癣；金钱癣
阴癣,Tinea cruris,,
紫白癜风,Tinea versicolour,Sweat stains,汗斑
摄领疮,Collar sore,Oxhide lichen,牛皮癣；顽癣
眉疮,Eyebrow sore,,恋眉疮；眉lian疮
旋耳疮,Ear sore,,月蚀疮
瘾疹,Urticaria,Hives,风疹块
蛇皮癣,Snake skin-like tinea,Ichthyosis disorder,
白疕,White scaling skin,Plaque psoriasis,白壳疮
痤疮,Acne,comedo,黑头粉刺；粉刺
紫癜风,Allergic purpura,,
天疱疮,Pemphigus,Pustules,脓疱疮
火赤疮,Fire red sore,Dermatitis herpetiformis,
松皮癣,Loose skin tinea,Psoriasis,
猫眼疮,Cat’s eye-shaped sore,Erythema multiforme,雁疮
瓜藤缠,Melon vine-like nodules,Erythema nodosum,
红蝴蝶疮,Red butterfly-like sore,Discoid lupus erythematosus,蝶斑疮
白驳风,White plaques,Vitiligo,
狐惑,Hu Huo,Behcet’s disease,
鸡眼,Chicken eye-shaped skin bump,Corn,肉刺
胼胝,Callus,,脚垫；牛程蹇
狐臭,Armpit odour,Smelly armpit,
漆疮,Lacquer sore,Lacquer dermatitis,漆毒
药毒,Drug-induced dermatitis,Drug eruption,药疹
膏药风,Plaster contact dermatitis,,
疥疮,Scabies,,疥疮病
丹毒,Erysipelas,Erysipelas disorder,火丹；丹熛
内发丹毒,"Erysipelas on the chest, back/low back and hip",,
抱头火丹,Erysipelas on the head,,
流火,Erysipelas of the leg,,腿游风
疮疡类病,Sores and ulcers,,
疖,Furuncles,Furuncle disorders; Boil disorders Boils,疖肿
暑疖,Heat boils,,热疖
石疖,Headed boils,,有头疖
软疖,Headless boils,,无头疖
疖病,Multiple boils,,多发性疖
发际疮,Hairline sore,,
坐板疮,Seat sore,,
颜面部疔疮,Facial boils,,
手足部疔疮,Boils on the hand/foot,,
蛇头疔,Snake head-like whitlow,Whitlow,瘭疽
蛇节疔,Snake segment-like boils,,
蛀节疔,Boils on the knuckle,,
合谷疔,Hegu boil,Boil around Hegu (LI 4),虎口疔
水白疔,Palmar boil,,
足底疔,Boils on the sole,,
红丝疔,Red thread-like boil,Acute lymphangitis,
烂疔,Necrotic boil,Gas gangrene,
疔疮走黄,Boil toxins entering the zang–fu organs,,癀走
疫疔,Cutaneous anthrax,,
痈,Abscess,Abscess disorders,痈病
脐痈,Umbilical abscess,,
悬痈,Perineal abscess,,
股疽,Thigh abscess,,
膝痈,Knee abscess,,
黄瓜痈,Paravertebral abscess,,
颈痈,Cervical abscess,,夹喉痈
腋痈,Axillary abscess,,
胯腹痈,Inguinal abscess,,
痰毒,Acute suppurative lymphadenitis,,
发,Effusion,,
锁喉痈,Abscess in the tonsil,,
臀痈,Gluteal abscess,,
疽,Deep-rooted ulcer,,疽病
有头疽,Carbuncle,,
疽毒内陷,Inward collapse of abscess toxins,,
无头疽,Headless abscess,Yin abscess,阴疽
附骨疽,Suppurative osteomyelitis,,多骨疽；咬骨疽；朽骨疽
流注,Deep multiple abscess,,
痰核,Subcutaneous nodules,,
瘰疬,Scrofula,,
臁疮,Shank sore,,
脱疽,Digital gangrene,,
青筋腿,Varicose veins of the leg,,
瘘病,Fistula disorders,Fistula disorder,
瘘管,Fistula,,
窦道,Sinus,,
褥疮,Bedsores,Bed sore disorder Pressure ulcer,席疮
肛肠类病,Anorectal diseases,,肛肠病
痔疮,Haemorrhoid,,痔病
内痔,Internal haemorrhoids,Interior haemorroid disorder,里痔
外痔,External haemorrhoids,,
混合痔,Mixed haemorrhoids,,
肛裂,Anal fissure,,裂肛
肛痈,Anorectal abscess,,
脏毒,Anal abscess,Anal abscess disorder,
肛漏,Anal fistula,,肛瘘
生殖病类,Reproductive system diseases,,
男性生殖病,Male genital disorders,,
男性前阴类病,Disorders of the male external genitalia,,
子痈,Inflammatory infection of the testis and epididymis,,
子痰,Tuberculosis of the testicle,,
子隐,Undescended testis,,
肾囊风,Scrotal eczema,,阴囊风；绣球风
不育类病,Sterility disorders,Male Sterility disorder; Male sterility,男性不育
精液类病,Sperm disorders,,
精冷,Cold semen,,
精浊,Turbid semen,,
遗精,Nocturnal emissions,,
滑精,Spermatorrhoea,Involuntary ejaculation disorder (TM1),
女性生殖病,Female genital disorders,,
女性前阴类病,Disorders of the female external genitalia,,
梦交,Sleep sex,Sexosomnia,
阴挺,Prolapsed uterus,Uterine prolapse,子宫脱垂
阴吹,Vaginal flatulence,,
阴冷,Uterine cold,Cold uterus,阴寒
阴疮,Vulvar ulceration,Vulvar swelling Vulvar erosion,阴肿；阴蚀；阴茧
月经类病,Menstrual disorders,Menstruation associated disorders; Menstrual diseases,月经病；月经不调；月经周期病
月经先期,Early menstrual period,Advanced menstruation disorder,
月经后期,Delayed menstrual period,Delayed menstruation disorder,
月经先后无定期,Irregular menstrual period,Irregular menstruation disorders,
月经过多,Heavy menstruation,,
月经过少,Scanty menstruation,Scanty menstruation disorder,
经期延长,Prolonged menstruation,Prolonged menstruation disorder,
崩漏,Metrorrhagia and metrostaxis,,
崩中,Metrorrhagia,Metrorrhagia disorder,血崩
漏下,Metrostaxis,,
经间期出血,Bleeding between periods,,
闭经,Amenorrhoea,Amenorrhoea disorder; No periods disorder,经闭
月经前后诸症,Perimenstrual disorders,,月经前后诸证；经行前后诸证
痛经,Dysmenorrhea,Dysmenorrhea disorder; Painful periods disorder; Menstrual cramp disorder,
经行吐衄,Vomiting of blood or nosebleed during menstruation,Reversed menstruation,倒经
经行发热,Fever during menstruation,,
经行眩晕,Dizziness during menstruation,,
经行头痛,Headache during menstruation,,
经行乳房胀痛,Breast distension/pain during menstruation,,经前乳胀
经行身痛,Generalized pain during menstruation,,
经行失眠,Insomnia during menstruation,,
经行口糜,Oral ulceration during menstruation,,
经行风疹块,Wind wheals during menstruation,,
经行泄泻,Diarrhoea during menstruation,,
经行浮肿,Puffiness and swelling during menstruation,,
经行情志异常,Moodiness during menstruation,,
绝经前后诸症,Perimenopausal disorders,Menopausal disorder; Menopausal pattern,更年期综合征
胎孕类病,Disorders of pregnancy and childbirth,,
不孕,Infertility,Female infertility disorder; Female sterility disorder; Infertility disorder,
恶阻,Morning sickness,Morning sickness disorder; Vomiting during pregnancy disorder; Pregnancy vomiting,妊娠呕吐
胞阻,Abdominal pain in pregnancy,,妊娠腹痛
滑胎,Habitual miscarriage,,
胎萎不长,Slow foetal growth,,
过期不产,Post-term pregnancy,,
子满,Hydramnios during pregnancy,,
子肿,Oedema during pregnancy,Pregnancy swelling,妊娠肿胀
子眩,Dizziness during pregnancy,,子晕；妊娠眩晕
子痫,Eclampsia of pregnancy,Eclampsia disorder,子冒
子悬,Ascending of fetal qi,,胎气上逆
子烦,Vexation during pregnancy,,妊娠心烦
子喑,Loss of voice during pregnancy,,子瘖；妊娠失音
子嗽,Cough during pregnancy,,妊娠咳嗽
子淋,Stranguria during pregnancy,,妊娠小便淋痛
妊娠转胞,Urine retention in pregnancy,,转胞；妊娠小便不通
妊娠瘙痒症,Skin itching during pregnancy,,
孕痈,Acute appendicitis during pregnancy,,
妊娠下肢抽筋,Leg cramps during pregnancy,,
妊娠风疹,Rubella during pregnancy,,
妊娠疱疹,Herpes simplex during pregnancy,,
妊娠偏头痛,Migraine during pregnancy,,
妊娠消渴,Diabetes during pregnancy,,
产科类病,Obstetric disorders,,产病
难产,Difficult delivery,,
胞衣不下,Retained placenta,,
产后类病,Postpartum disorders,Postpartum diseases,产后病
产后发热,Postpartum fever,,
产后血晕,Postpartum fainting,,
产后血崩,Postpartum bleeding,,
产后恶露不下,Retention of the lochia,,
产后恶露不绝,Persistent lochia discharge,,
产后恶血冲心,Lochia disturbing the heart mind,,恶血冲心；败血冲心；产后败血 冲心；产后血气 冲心；产后恶血 入心
产后恶血冲胃,Lochia affecting the stomach,,
产后恶血冲肺,Lochia affecting the lung,,
产后痉病,Postpartum tetanus,,
产后腹痛,Postpartum abdominal pain,Postpartum abdominal pain disorder Puerperal abdominal pain disorder,儿枕痛
产后汗病,Postpartum sweating,,产后汗症
产后缺乳,Postpartum oligogalactia,Inadequate lactation,乳汁不行
产后身痛,Postpartum body ache,,
交肠病,Obstetric (rectovaginal) fistula,,产后交肠病；阴道直肠瘘
血风劳,Postpartum exhaustion,,产褥劳；产后劳
带下病类,Leucorrhoea,,
白崩,"Profuse, whitish vaginal discharge",Vaginal discharge disorder,
房事类病,Sexual disorders,,
早泄,Premature ejaculation,Premature ejaculation disorder,早泄
阳痿,Impotence,Impotence disorder,阳痿
小儿相关病类,Paediatric disorders,Childhood and adolescence associated disorders; Child related diseases,
胎黄,Neonatal jaundice,,
脐风,Umbilical wind (neonatal tetanus),,
小儿时令类病,Epidemic diseases in children,,
小儿温疫类病,Contagious diseases in children,,
奶麻,Roseola infantum,Pseudorubella,假麻
小儿软脚瘟,Infantile paralysis,Polio,疫痿
小儿疫毒痢,Paediatric bacillary dysentery,,
小儿白喉,Paediatric diphtheria,,
小儿天花,Paediatric smallpox,,小儿痘疹；天行痘；百岁疮
百晬嗽,Neonatal cough,,乳嗽；胎嗽；百晬咳；百晬内嗽
小儿肺风痰喘,Paediatric pneumonia,,肺风痰喘；肺炎喘嗽
小儿惊风,Infantile convulsions,,小儿惊厥
急惊风,Acute infantile convulsion,Acute convulsion disorder,
慢惊风,Chronic infantile convulsion,Recurrent convulsion disorder,
慢脾风,Chronic spleen wind,,
客忤,Fright seizure,Fright seizure disorder; Infantile fright seizure,小儿客忤
夜啼,Night crying,Night crying disorder,
小儿痴呆,Paediatric dementia,,
滞颐,Drooling in babies,Dribbling disorder,
疳病,Infantile malnutrition,Infantile malnutrition disorder; Malnutrition pattern,疳证
疳气,Mild infantile malnutrition,,
疳积,Mild malnutrition with food stagnation,,
干疳,Severe infantile malnutrition,,
积滞,Paediatric indigestion,,
乳积,Milk accumulation,,
食积,Food stagnation,,
小儿厌食,Paediatric poor appetite,,
小儿异食,Paediatric parorexia,,异食癖
小儿呕吐,Paediatric vomiting,,
小儿痿病,Paediatric flaccidity,Infant flaccid disorder; Infant flaccidity disorder; Infant limpness disorder,
小儿尿频,Paediatric frequent urination,,
小儿遗尿,Paediatric enuresis,,
燕口疮,Canker sores,,口吻疮
小儿乳蛾,Paediatric tonsillitis,,
小儿湮尻疮,Nappy/diaper rash,Nappy/diaper dermatitis disorder; Red skin around the nappy/diaper,臀红
小儿赤游丹,Paediatric erysipelas,,赤游丹
奶癣,Paediatric eczema,,胎癣；胎疮
解颅,Hydrocephalus,,囟解
五迟,Five retardations,,
五软,Five flaccidities,,
眼病类,Eye diseases,,
外障类病,"Eye disorders involving the eyelid, inner/outer canthus, sclera and iris.",,
针眼,Stye,,
眼丹,Blepharitis,,
胞生痰核,Phlegm node of the eyelid,,胞睑痰核
椒疮,Pricklyash-like sores on the eyelid,Trachoma,沙眼
粟疮,Millet-like sores on the eyelid,Follicular conjunctivitis,
睑弦赤烂,"Red, wet and ulcerative eyelid",Marginal blepharitis,风弦赤烂
胞肿如桃,Inflammatory swelling of the eyelid,Inflammatory eyelid disorder,
胞虚如球,Non-inflammatory oedema of the eyelid,Non-inflammatory eyelid disorder,睥虚如球
冷泪,Cold tears,,
胬肉攀睛,Pterygium,,
暴风客热,Sudden attack of wind heat on the eye,,
天行赤眼,Epidemic conjunctivitis,,
聚星障,Superficial punctate keratitis,,
混睛障,Interstitial keratitis,,气翳
内障类病,"Eye disorders involving the pupil, eyeball, retina or other eye tissues",,
五风内障,Glaucoma,,
青风内障,Bluish glaucoma,,
黄风内障,Yellowish glaucoma,,
绿风内障,Greenish glaucoma,,
乌风内障,Dark glaucoma,,
黑风内障,Black glaucoma,,
圆翳内障,Cataract,,如银内障
高风内障,Retinopathy pigmentosa,,高风雀目
青盲,Bluish blindness,,
暴盲,Sudden blindness,,
眼科杂病类,Unclassified eye disorders,,
雀目,Night blindness,Night blindness disorder; Night blindness due to liver deficiency,肝虚雀目
耳病类,Ear disorders,,
耳闭,Ear block,Progressive hearing loss,
暴聋,Sudden deafness,Sudden deafness disorder,
鼻病类,Nasal diseases,,
鼻疳,Nasal sore,,鼻疮
伤风鼻塞,Acute rhinitis,,
鼻槁,Rhinitis sicca,,
鼻鼽,Allergic rhinitis,Allergic rhinitis disorder,
鼻渊,Profuse nasal discharge,Nasal sinusitis disorder,
鼻窦痰包,Sinusitis,,
咽喉病类,Throat diseases,Tonsillitis disorder,
乳蛾,Tonsillitis,,
急乳蛾,Acute tonsillitis,,
慢乳蛾,Chronic tonsillitis,,
石蛾,Stony tonsillitis,,
喉痹,Throat impediment,Pharyngitis,
急喉痹,Acute pharyngitis,,
慢喉痹,Chronic pharyngitis,,
喉痈,Peritonsillar abscess,,
喉关痈,Epiglottic abscess,,
里喉痈,Posterior pharyngeal abscess,,
颌下痈,Submandibular abscess,,
上腭痈,Mandibular abscess,,
暴瘖,Sudden hoarseness,,急喉喑
久瘖,Chronic hoarseness,,慢喉喑
急喉风,Acute laryngeal obstruction,,喉风；锁喉风
飞扬喉,Uvula haematoma,,
喉咳,Laryngitis,,喉源性咳嗽
梅核气,Plum pit qi,Globus hystericus,
喉癣,Tuberculosis of the throat,,喉痨
咽喉菌,Throat cancer,,咽菌；喉菌；喉岩
口齿病类,Tooth and mouth diseases,,
龋齿,Dental caries,,
牙痈,Periodontal abscess,,
牙咬痈,Pericoronitis of wisdom tooth,,
牙宣,Gingival recession,,
牙漏,Dental fistula,,齿漏；漏疳
齿槽风,Dental abscess,Osteomyelitis of the maxilla,骨槽风；穿腮毒
牙疳,Ulcerative gingivitis,,
走马牙疳,Acute ulcerative gingivitis,,
口疳,Mouth ulcer,,口疮
口糜,Oral erosion,,
唇🗎,Wet lips,Cheilitis,
唇风,Lip wind,Exfoliative cheilitis,驴嘴风
茧唇,Lip ulcer,,唇癌
舌痈,Tongue ulceration,,
重舌,Lotus tongue,Sublinguitis,莲花舌
结舌,Tongue-tie,Ankyloglossia,连舌；绊舌
口舌痰包,Sublingual cysts,,舌下痰包
瘤癌病类,Neoplasms and carcinomas,,
积聚类病,Abdominal masses,,癥瘕；积聚；痃癖
积病,Tangible masses,Zheng masses,癥积
聚病,Intangible masses,Jia masses,瘕病
伏梁,Masses in the upper abdomen,Masses accumulating below the cardiac region (Crohn’s disease or regional enteritis),伏梁气；伏梁积气；心积伏梁
肥气,Masses in the liver,,肝积
痞气,Masses in the spleen,,脾积气；脾积痞气
食瘕,Stomach masses due to food retention,,
肺积,Masses in the lung,Rushing respiration,息贲
奔豚,Running piglet,Running piglet qi; ascending of yin cold qi from the kidney,贲豚；贲豚气；肾积气
瘤类病,Neoplasms,,
气瘤,Qi tumour,,
血瘤,Blood tumour,Paediatric haemangioma,
血痣,Vascular naevi,Blood moles,
肉瘤,Fleshy tumour,,
筋瘤,Sinew tumour,,
胶瘤,Joint tumour,,
脂瘤,Skin tumour,,粉瘤
发瘤,Cystic tumour,,
鼻血瘤,Nasal cavity haemangioma,,
石瘕,Stony masses,Uterine fibroids,
肠覃,Ovarian cysts,,
岩类病,Rocky mass,Carcinoma Cancer,癌症；岩病
翻花疮,Squamous cell carcinoma,,
石疽,Stony gangrene,,
上石疽,Upper hard nodules,,
中石疽,Middle hard nodules,,
下石疽,Lower hard nodules,,
恶核,Malignant nodule,,
失荣,Cervical malignancy with cachexia,,
石瘿,Stony goitre (thyroid cancer),,
乳疳,Eczematous carcinoma of nipple,,
乳岩,Rocky mass in the breast,Breast cancer,乳癌
子岩,Testicular cancer,,子癌
肾岩翻花,Penile cancer,,肾癌翻花；阴茎癌
临时诊断用症候术语,Symptoms for provisional diagnosis,,
发热,Fever,,
抽搐,Convulsion,,
头痛,Headache,,
眩晕,Vertigo,,
昏迷,Unconsciousness,Loss of consciousness,神昏
失眠,Insomnia,,
健忘,Forgetfulness,,
嗜睡,Somnolence,,
目盲,Eye blindness,,
耳鸣,Tinnitus,,
耳聋,Deafness,,
鼻衄,Nosebleed,,
牙痛,Toothache,,
齿衄,Gum bleeding,,牙衄
失音,Loss of voice,,
咯血,Expectoration of blood,,
咳嗽,Cough,,
气喘,Panting,Rapid breathing,喘促
咳血,Haemoptysis,,
胸痛,Chest pain,,
心悸,Palpitations,,
心痛,Cardiac pain,,
呕吐,Vomiting,,
干呕,Retching,,
暴吐,Projectile vomiting,,
呕血,Vomiting of blood,haematemesis,吐血
胃痛,Stomach ache,Gastric pain,胃脘痛；脘痛
嘈杂,Gastric upset,,
胁痛,Pain in the subcostal region,,胁肋痛
吐酸,Acid regurgitation,Acid reflux,吞酸；泛酸；噫酸
腹痛,Abdominal pain,,
腹水,Ascites,,
便秘,Constipation,,
便血,Bloody stools,Haematochezia,
腰痛,Lower back pain,,
尿血,Bloody urine,Haematuria,
尿浊,Cloudy urine,,
关节痛,Joint pain,,
瘫痪,Paralysis,,
震颤,Tremor,,
出疹,Skin eruptions,,
瘙痒,Pruritus,Skin itch,皮肤瘙痒
太阳人,Taiyang personality,,
少阳人,Shaoyang personality,,
太阴人,Taiyin personality,,
少阴人,Shaoyin personality,,
阴阳平和人,Yin-yang harmony personality,,
木形人,Wood personality,,
火形人,Fire personality,,
金形人,Metal personality,,
土形人,Earth personality,,
水形人,Water personality,,
急则治标,Treat the tip first in acute conditions,,
缓则治本,Treat the root in remissive stages,,
标本兼治,Treat both the tip and root,,标本同治
因时制宜,Treat according to time,,
因地制宜,Treat according to place,,
因人制宜,Treat according to person,,
扶正祛邪,Reinforce healthy qi to eliminate pathogenic factors,,扶正达邪
扶正固本,Reinforce healthy qi to strengthen the body,,扶正培本
祛邪扶正,Eliminate pathogenic factors and reinforce healthy qi,,祛邪安正
攻补兼施,Reinforce healthy qi and remove pathogenic factors simultaneously,,
先攻后补,Remove pathogenic factors before reinforcing healthy qi,,
先补后攻,Reinforce healthy qi before removing pathogenic factors,,
正治法,Routine treatment,Standard treatment,逆治法
寒者热之,Treat cold with heat,Cold treated with warm,
热者寒之,Treat heat with cold,Heat treated with cold,
虚则补之,Treat deficiency with reinforcement,,
实则泻之,Treat excess with purgation/reduction,,
反治法,Paradoxical treatment,Contrary treatment,从治法
寒因寒用,Treat false cold with cold,Cold treated with cold,
热因热用,Treat false heat with heat,Heat treated with warm,
通因通用,Treat uncontrolled discharge by unblocking,Uncontrolled discharge treated with purgation,
调理阴阳,Regulate and balance yin and yang,,调平阴阳；调整阴阳
从阴引阳,Seeking yang from yin,,阴中求阳
从阳引阴,Seeking yin from yang,,阳中求阴
虚者补其母,Reinforce the mother (element) for deficiency pattern,,虚则补其母
实者泻其子,Reduce the son (element) for excess pattern,,实则泻其子
异病同治,Same treatment for different diseases,,
同病异治,Different treatments for same disease,,
先表后里,Treat the exterior before the interior,,
解表法,Exterior-releasing methods,,发表法
辛温解表,Release the exterior with pungent-warm,Promote sweating with pungent-warm; Release the exterior and dissipate cold,辛温发汗；发表散寒
