WGM2#,English term,Chinese term,Pinyin term,Synonyms,English definition/description,Chinese synonyms
2506,"Eliminate phlegm, regulate qi and remove toxins",祛痰理气解毒,qū tán lǐ qì jiě dú,null,"A treatment method to eliminate stasis, regulate qi and remove toxins. It is indicated for toxic phlegm retention.",null
2507,Orifice-opening methods,开窍法,kāi qiào fǎ,null,Treatment methods to open the orifice and refresh the mind,null
2508,Open the orifices and unblock impediments,开窍通闭,kāi qiào tōng bì,null,"A treatment method to open the orifices, refresh the mind and unblock impediments. It is indicated for conditions due to pathogenic factors misting the heart mind.",通窍开闭
2509,Clear heat and open the orifices,清热开窍,qīng rè kāi qiào,null,"A treatment method to clear heat, reduce fire, open the orifices and refresh the mind. It is indicated for conditions due to heat blocking the heart mind.",泄热开窍
2510,Calm the heart and open the orifices,宁心开窍,níng xīn kāi qiào,Calm the mind and open the orifices,"A treatment method to nourish the heart and settle the mind. It is indicated for cardiac shock, shock from heavy blood loss or unconsciousness due to fear/fright damaging the heart mind.",宁神开窍
2511,Open the orifices with aroma,芳香开窍,fāng xiāng kāi qiào,Repel foulness and open the orifices,A treatment method to unblock impediment and open the orifices with aromatic medicines. It is indicated for unconsciousness due to turbidity blocking the pericardium.,芳香通窍；辟秽开窍；辟秽通窍
2512,Dissipate cold and open the orifices,散寒开窍,sàn hán kāi qiào,Open the orifices with pungent warm,"A treatment method to warm yang, dissipate cold and open the orifices with pungent, warm medicines. It is indicated for cold-induced shock or unconsciousness due to cold retention and qi stagnation.",散寒通窍；散寒通闭；散寒开 闭；辛温开窍；辛温通窍
2513,Drain dampness and open the orifices,利🗎开窍,lì shī kāi qiào,null,A treatment method to transform dampness and open the orifices. It is indicated for turbid phlegm misting the heart mind.,利🗎通窍；化🗎开窍；化🗎通窍
2514,Transform phlegm and open the orifices,化痰开窍,huà tán kāi qiào,null,A treatment method to transform turbid phlegm and open the orifices. It is indicated for phlegm- induced shock or phlegm misting the heart mind.,祛痰开窍；涤痰开窍；豁痰开窍
2515,"Eliminate phlegm, transform dampness and open the orifices",祛痰化🗎开窍,qū tán huà shī kāi qiào,null,"A treatment method to eliminate phlegm, transform dampness and open the orifices. It is indicated for phlegm dampness disturbing the heart mind.",null
2516,"Remove wind, eliminate phlegm and open the orifices",搜风祛痰开窍,sōu fēng qū tán kāi qiào,null,"A treatment method to remove wind, eliminate phlegm and open the orifices. It is indicated for wind phlegm disturbing the heart mind.",null
2517,Eliminate heat and open the orifices,祛热开窍,qū rè kāi qiào,null,"A treatment method to clear summer heat, circulate qi and open the orifices. It is indicated for summer heat blocking the flow of qi.",null
2518,Resolve stones and circulate qi,消石开闭,xiāo shí kāi bì,Dissolve stones and open blockages,A treatment method to resolve stones and circulate qi. It is indicated for stones blocking the flow of qi.,null
2519,Remove toxins and circulate qi,解毒开闭,jiě dú kāi bì,null,A treatment method to use medicines or formulas that remove toxins. It is indicated for epidemic toxins blocking the heart mind.,null
2520,Remove toxins and disperse the lung,解毒开肺,jiě dú kāi fèi,null,A treatment method to remove toxins and disperse lung qi. It is indicated for toxic heat blocking the lung or measles virus blocking the lung.,null
2521,Repelling parasites methods,驱虫法,qū chóng fǎ,null,Treatment methods to kill or repel intestinal parasites,null
2522,Repel roundworms and kill parasites,驱蛔杀虫,qū huí shā chóng,null,A treatment method to repel and kill roundworms. It is indicated for conditions due to intestinal worms.,null
2523,Strengthen the spleen and repel parasitic worms,健脾驱虫,jiàn pí qū chóng,Fortify the spleen and repel parasitic worms,A treatment method to combine medicines to reinforce the spleen and repel parasitic worms. It is indicated for spleen deficiency coupled with retention of parasitic worms.,补脾驱虫
2524,Kill parasitic worms and alleviate malnutrition,杀虫消疳,shā chóng xiāo gān,null,"A treatment method to kill parasitic worms and improve malnutrition. It is indicated for
malnutrition due to retention of parasitic worms.",杀虫消积
2525,Eliminate wind and kill parasitic worms,祛风杀虫,qū fēng shā chóng,null,A treatment method to remove wind and kill parasitic worms. It is indicated for conditions due to toxic worms or wind affecting the skin.,null
2526,Kill parasitic worms and calm the mind,杀虫宁神,shā chóng níng shén,null,"A treatment method to kill worms, calm the mind, alleviate pain and stop seizures. It is indicated for pork tapeworm affecting the brain.",null
2527,Mind-calming methods,安神法,ān shén fǎ,null,Treatment methods to calm/settle the mind and alleviate palpitations,null
2528,Calm the mind with heavy medicinal minerals,重镇安神,zhòng zhèn ān shén,null,A treatment method to use heavy medicinal minerals to submerge yang and settle the mind. It is indicated for insomnia due to yang hyperactivity.,潜镇安神
2529,Calm and settle the mind,安神定志,ān shén dìng zhì,Calm the mind and alleviate palpitations,"A treatment method to remove pathogenic factors and nourish the heart. It is indicated for severe palpitations, insomnia, poor memory and panic.",安神定悸；宁心定志；宁心定悸
2530,Nourish the heart and calm the mind,养心安神,yǎng xīn ān shén,Reinforce the heart and calm the mind,"A treatment method to reinforce the heart and nourish blood. It is indicated for palpitations, insomnia, dream-disturbed sleep, poor memory and panic due to heart deficiency.",补心安神
2531,Nourish blood and calm the mind,养血安神,yǎng xuè ān shén,null,"A treatment method to tonify blood and nourish the heart. It is indicated for palpitations, insomnia, dream-disturbed sleep, poor memory and panic due to heart blood deficiency.",null
2532,Benefit the kidney and calm the mind,益肾宁神,yì shèn níng shén,null,A treatment method to tonify kidney essence. It is indicated for palpitations or insomnia due to fear disturbing the mind qi or disharmony between the heart and kidney.,null
2533,Supplement qi and calm the mind,益气安神,yì qì ān shén,null,"A treatment method to tonify qi, nourish the heart and calm the mind. It is indicated for restlessness due to heart qi deficiency.",益气定神
2534,Nourish yin and calm the mind,滋阴安神,zī yīn ān shén,null,A treatment method to nourish heart yin and calm the mind. It is indicated for restlessness due to heart yin deficiency.,养阴安神
2535,Harmonize the middle jiao and calm the mind,和中安神,hé zhōng ān shén,Harmonize the stomach and calm the mind,"A treatment method to promote digestion, harmonize the stomach and calm the mind. It is indicated for insomnia due to stomach discomfort.",和胃安神
2536,Remove toxins and calm the mind,解毒安神,jiě dú ān shén,null,"A treatment method to remove toxins, transform turbidity and calm the mind. It is indicated for toxic turbidity disturbing the mind.",null
2537,Relieve stagnation and calm the mind,解郁安神,jiě yù ān shén,null,"A treatment method to relieve stagnation, regulate qi and calm the mind. It is indicated for grief affecting the mind due to depression.",null
2538,Calm the mind and relieve itch,安神止痒,ān shén zhǐ yǎng,null,A treatment method to nourish blood and calm the mind. It is indicated for itching or restlessness due to yin blood failing to nourish the skin.,null
2539,Tranquillize and calm the mind,镇惊安神,zhèn jīng ān shén,null,A treatment method to calm the mind with heavy medicinal minerals. It is indicated for fear/fright disturbing the mind.,镇心安神
2540,Digestion-promoting methods,消导法,xiao dǎo fǎ,null,"Treatment methods to promote digestion to eliminate stagnation, disperse masses and soften hardness",null
2541,Promote digestion and eliminate stagnation,消食导滞,xiāo shí dǎo zhì,null,A treatment method to promote digestion and resolve stagnation. It is indicated for food retention in the stomach and intestines.,消食化滞
2542,Clear heat and eliminate stagnation,清热导滞,qīng rè dǎo zhì,null,"A treatment method to combine medicines to promote digestion, resolve stagnation and clear heat. It is indicated for stomach heat due to food retention or food retention in the stomach and intestines.",泄热导滞
2543,Resolve stagnation and transform indigestion,消痞化积,xiāo pǐ huà jī,null,A treatment method to promote digestion and transform stagnation. It is indicated for masses or distension due to food retention and qi stagnation.,null
2544,Soften hardness and dissipate masses,软坚散结,ruǎn jiān sàn jiē,null,"A treatment method to circulate qi, move blood, soften hardness and dissipate masses. It is indicated for goitre or masses due to qi stagnation and blood stasis.",软坚消结；软坚消瘿；软坚消 癥；软坚消肿
2545,Resolve stones and promote bowel movements,消石导滞,xiāo shí dǎo zhì,null,"A treatment method to resolve stones, circulate qi and promote bowel movements. It is indicated for stones obstructing the flow of qi.",null
2546,Securing and astringent methods,固涩法,gù sè fǎ,null,"Treatment methods to secure qi, blood, fluids and essence from consumption",null
2547,Secure the exterior and stop sweating,固表止汗,gù biǎo zhǐ hàn,Astringe sweating and secure the exterior,A treatment method to secure the exterior to stop sweating. It is indicated for spontaneous sweating due to insecure Wei-defensive qi.,固表敛汗；敛汗固表
2548,Astringe the lung and relieve cough,敛肺止咳,liǎn fèi zhǐ ké,null,A treatment method to tonify and astringe lung qi to stop coughing. It is indicated for cough due to lung qi deficiency.,null
2549,Astringe the lung and alleviate panting/ tachypnoea,敛肺平喘,liǎn fèi píng chuǎn,null,A treatment method to tonify and astringe lung qi to alleviate panting. It is indicated for fast breathing due to lung qi deficiency.,null
2550,Astringe the intestine and stop diarrhoea,涩肠止泻,sè cháng zhǐ xiè,Secure the intestine and stop diarrhoea,A treatment method to astringe the intestine to stop diarrhoea. It is indicated for chronic diarrhoea.,固肠止泻
2551,Astringe essence and stop seminal emissions,涩精止遗,sè jīng zhǐ yí,null,A treatment method to astringe and secure the kidney essence to stop seminal emissions. It is indicated for nocturnal emissions or spermatorrhoea.,null
2552,Secure menses and stop bleeding,固经止血,gù jīng zhǐ xiě,null,A treatment method to astringe menses to stop bleeding. It is indicated for heavy menstruation.,null
2553,Secure blood and stop bleeding,固摄止血,gù shè zhǐ xiě,null,A treatment method to astringe and secure blood to stop bleeding. It is indicated for bleeding due to qi failing to keep blood within the vessels.,摄血止血
2554,Secure the Chong meridian and stop leucorrhoea,固冲止带,gù chōng zhǐ dài,Secure the kidney and stop leucorrhoea,A treatment method to tonify the kidney and secure Chong and Ren meridians to stop vaginal discharges. It is indicated for vaginal discharges due to kidney deficiency and insecurity of the Chong and Ren meridians.,固肾止带；固涩止带
2555,Reinforce the kidney and secure the fetus,固肾安胎,gù shèn ān tāi,null,A treatment method to tonify kidney qi to secure the fetus. It is indicated for threatened abortion due to kidney deficiency.,null
2556,Stop bleeding and secure the fetus,止血安胎,zhǐ xiě ān tāi,null,A treatment method to stop bleeding and secure the fetus.,null
2557,Tonify qi and astringe the breast milk,固涩敛乳,gù sè liǎn rǔ,null,A treatment method to tonify qi and astringe breast milk. It is indicated for spontaneous flow of breast milk due to qi deficiency.,固涩摄乳；补气敛乳；固涩摄 乳；补气摄乳
2558,Tonify qi and astringe tears,固摄敛泪,gù shè liǎn lèi,null,A treatment method to tonify qi and stop lacrimation. It is indicated for spontaneous flow of tears due to qi deficiency.,收敛止泪
2559,Secure the bladder and stop enuresis,固脬止遗,gù pāo zhǐ yí,Tonify qi and secure the bladder,A treatment method to tonify kidney qi to secure the urinary bladder. It is indicated for enuresis or urinary incontinence due to kidney qi insecurity.,固脬止尿；固脬止淋；补气固脬
2560,Tonify qi and facilitate its securing function,补气固摄,bǔ qì gù shè,null,"A treatment method to tonify qi to facilitate its securing function. It is indicated for conditions due to qi failing to secure blood, fluids or essence, etc.",益气固摄
2561,Secure and astringe yin fluids,固护阴液,gù hù yīn yè,Astringe yin and prevent collapse,A treatment method to astringe and nourish yin fluids. It is indicated for exhaustion of yin fluids.,敛阴固脱
2562,Warm yang and prevent qi exhaustion,温阳固脱,wēn yáng gù tuō,null,"A treatment method to warm yang, tonify qi and prevent collapse. It is indicated for yang qi failure.",温涩固脱
2563,Lift and secure qi,升提固涩,shēng tí gù sè,null,"A treatment method to combine medicines to supplement, lift and astringe qi. It is indicated for qi failing to secure blood, fluid or essence, etc.",升清固涩
2564,Tonify the kidney to facilitate its astringent function,补肾固涩,bǔ shèn gù sè,null,A treatment method to tonify kidney qi and facilitate its securing function. It is indicated for kidney qi insecurity.,固摄下元
2565,Sore-/ulcer-resolving methods,治痈疡法,zhì yōng yáng fǎ,null,Treatment methods to resolve superficial or suppurative skin conditions,null
2566,Remove toxins and resolve sores/ulcers,解毒散痈,jiě dú sàn yōng,null,A treatment method to remove toxins and resolve sores or ulcers.,null
2567,Remove toxins and resolve swelling,解毒消肿,jiě dú xiāo zhǒng,Remove toxins and resolve masses,"A treatment method to remove toxins, resolve sores/ulcers and eliminate swelling.",化毒消肿；化毒散结；解毒散结
2568,Clear heat and drain the pus,清热排脓,qīng rè pái nóng,null,"A treatment method to clear heat, remove toxins and drain the pus of sores or ulcers.",null
2569,Eliminate dead tissues and regenerate new tissues,祛腐生肌,qū fǔ shēng jī,null,"A treatment method to eliminate dead tissues, regenerate flesh and speed up wound healing.",去腐生肌
2570,Resolve abscesses and dissipate boils,消痈散疖,xiāo yōng sàn jiē,null,"A treatment method to resolve swelling, remove toxins and eliminate boils.",null
2571,Dry dampness and astringe wound,燥🗎敛疮,zào shī liǎn chuāng,null,"A treatment method to dry dampness, regenerate flesh and speed up ulcerative wound healing.",null
2572,Clear and remove residual toxins,清解余毒,qīng jiě yú dú,Clear hidden toxins,A treatment method to clear heat and remove hidden toxins.,清透伏邪
2573,Astringe sores/ulcers and stop pain,敛疮止痛,liǎn chuāng zhǐ tòng,null,A treatment method to alleviate pain and speed up ulcerative wound healing.,null
2574,Remove toxins with toxins,以毒攻毒,yǐ dú gōng dú,Fight poison with poison,A treatment method to remove toxins with poisonous medicines.,null
2575,Draw out pus and toxin,提脓拔毒,tí nóng bá dú,null,A treatment method to drain pus through therapies or formulas to draw out pus and toxin.,null
2576,Draw pus and eliminate putridity,提脓祛腐,tí nóng qū fǔ,null,A treatment method to drain pus and eliminate dead tissues through therapies or formulas to draw pus and remove putridity.,null
2577,"Methods for eyes and ear, nose and throat problems",治五官法,zhì wǔ guān fǎ,null,"Treatment methods for problems of the eyes, noses lips, tongue and ears",null
2578,Brighten the eyes,明目,míng mù,null,"A treatment method to remove wind, clear heat, cool blood, transform stasis, nourish blood, supplement qi, nourish yin, strengthen the spleen and tonify the liver and kidney to remove pathogenic factors, reinforce anti-pathogenic qi and benefit the eyes. It is indicated for blurred vision.",null
2579,Unblock the ears,通耳,tōng ěr,Benefit the ears,"A treatment method to remove pathogenic factors, reinforce anti-pathogenic qi and benefit the ears.",利耳
2580,Unblock the nose,通鼻,tōng bí,null,"A treatment method to remove pathogenic factors, reinforce anti-pathogenic qi and benefit the nose.",null
2581,Clear the throat,利咽,lì yān,null,"A treatment method to remove pathogenic factors, reinforce anti-pathogenic qi and benefit the throat.",null
2582,Restore the voice,开音,kāi yīn,null,"A treatment method to remove pathogenic factors, reinforce anti-pathogenic qi and restore the voice. It is indicated for hoarseness.",null
2583,Secure the teeth,固齿,gù chǐ,null,"A treatment method to remove pathogenic factors, reinforce anti-pathogenic qi, secure the teeth and moisten the gums.",null
2584,Other treatment methods,其他治法,qí tā zhì fǎ,null,null,null
2585,Nourish yin fluids to submerge yang,壮水制阳,zhuàng shuǐ zhì yáng,null,A treatment method to nourish yin fluids to contain hyperactivity of yang qi. It is indicated for hyperactivity of yang due to yin deficiency.,滋阴抑阳
2586,Warm yang to dissipate yin cold,益火消阴,yì huǒ xiāo yīn,null,A treatment method to warm and reinforce yang qi to dissipate yin cold. It is indicated for yin cold due to yang deficiency.,壮阳消阴
2587,Guide fire to its origin,引火归原,yǐn huǒ guī yuán,Guide dragon to the sea,"A treatment method to reinforce kidney yang and combine medicines that enter meridians to astringe floating yang qi, i.e. to guide kidney yang into kidney yin. It is indicated for decline of vital fire or floating of deficiency yang.",导龙入海
2588,"Harmonize the Ying nutrients and
regenerate new tissues",和营生新,hé yíng shēng xīn,null,"A treatment method to harmonize between  the Ying nutrients and blood, circulate blood, regenerate new blood and flesh, and speed up wound healing. It is indicated for delayed wound healing due to blood stagnation.",null
2589,Disperse and unblock the three jiao,宣通三焦,xuān tōng sān jiāo,Disperse and unblock triple energizer,"A treatment method to regulate qi, eliminate pathogenic factors and unblock the three jiao. It is indicated for pathogenic factors impairing the qi flow of the three jiao.",null
2590,Coordinate the heart and kidney,交通心肾,jiāo tōng xīn shèn,null,"A treatment method to nourish kidney yin, astringe kidney yang, reduce heart fire and calm the heart mind to submerge yang and coordinate between the heart and kidney. It is indicated for conditions due to disharmony between the heart fire and kidney water.",null
2591,Clear the head and eyes,清利头目,qīng lì tóu mù,null,"A treatment method to clear heat, reduce fire, submerge yang and clear the head and eyes. It is indicated for headache, eye pain and dizziness due to upward flaming of fire heat or hyperactivity of yang qi.",null
2592,Lubricate the orifices,滑利窍道,huá lì qiào dào,null,A treatment method to lubricate and unblock orifices. It is indicated for dry orifices due to insufficiency of yin fluids.,null
2593,Open the chest and sooth the diaphragm,宽胸利膈,kuān xiōng lì gé,null,"A treatment method to eliminate pathogenic factors, regulate qi, lift yang, and down-regulate turbidity to soothe the chest and diaphragm. It is indicated for chest stuffiness, distension, fullness and tightness.",null
2594,Repair broken sinews and bones,续筋接骨,xù jīn jiē gǔ,null,A treatment method to use tuina or other therapies to repair the broken sinews or bones. It is indicated for sinew or bone injuries.,null
2595,Strengthen the sinews and bones,强筋壮骨,qiáng jīn zhuàng gǔ,null,"A treatment method to strengthen the sinews or bones through exercise or taking medicine. It is indicated for weak sinews/bones due to heredity, trauma or chronic diseases.",null
2596,Disperse nodules/ masses,散结,sàn jié,Soften hardness,"A treatment method to eliminate phlegm, regulate qi, break stasis and unblock collaterals to soften hardness, disperses nodules and resolve masses. It is indicated for masses, lumps or swelling.",软坚
2597,Reinforce metal and inhibit wood,佐金平木,zuǒ jīn píng mù,null,"A treatment method to disperse the lung (metal) and inhibit the liver (wood). It is indicated for migratory pain in the subcostal region, cough or panting due to hyperactivity of liver yang and failure of lung qi to disperse and descend.",null
2598,Supplement fire to cultivate earth,益火生土,yì huǒ shēng tǔ,null,A treatment method to warm and reinforce the vital fire to supplement the transportation and transformation of the spleen (earth). It is indicated for early morning diarrhoea due to decline of the vital fire and spleen yang deficiency.,null
2599,Mutual generation between metal and water,金水相生,jīn shuǐ xiāng shēng,null,"A treatment method to tonify the kidney and nourish the lung for lung deficiency and kidney deficiency, since the lung (metal) and kidney (water) mutually support physiologically and mutually affect pathologically.",null
2600,Cultivate earth to restrain water,培土制水,péi tǔ zhì shuǐ,null,A treatment method to tonify the spleen (earth) to restrain overflow of water dampness. It is indicated for oedema or diarrhoea due to spleen deficiency.,null
2601,Reduce the south to reinforce the north,泻南补北,xiè nán bǔ běi,null,"A treatment method to reduce heart fire and reinforce kidney water. The south here refers to heart fire, whereas the north refers to kidney water.",null
2602,3.3 Chinese medicine treatment,3.3 药物治疗类,null,null,null,null
2603,The categories of Chinese medicines,中药类,zhōng yào lèi,null,"Knowledge about the concept of Chinese medicines, the basic theories as well as the origin, production, processing, property, actions and indications of medicines",null
2604,Chinese medicines,中药,zhōng yào,Chinese herbal medicines,"Medicines to prevent, treat and diagnose diseases under the guidance of Chinese medical theories.",null
2605,Theory and practice of Chinese medicines,中药学,zhōng yào xué,null,"The study of basic theories, origin, production, processing, property, actions, indications and application of Chinese medicines.",null
2606,Materia medica,本草,běn cǎo,null,"An ancient term for Chinese medicine, mainly referring to medicinal plants.",null
2607,Folk medicines,草药,cǎo yào,null,"Regional herbal medicines that may not be recorded in major books on materia medica; however, they are an integral part of Chinese medicine.",null
2608,Raw Chinese medicines,中药材,zhōng yào cái,null,"Raw materials include medicinal plants, animals and minerals that can be prepared into pieces, extracts or Chinese patent medicine.",null
2609,Geo-authentic materia medica,道地药材,dào dì yào cái,null,High-quality Chinese medicines produced in specific geographical areas.,null
2610,Decoction-ready medicines,饮片,yǐn piàn,null,Prepared herbal pieces that can be used directly in clinical use or preparation production.,null
2611,Medicinal granules,配方颗粒,pèi fāng kē lì,null,"A new dosage form with standardized specification, dosage and quality manufactured through extracting, separating, condensing, drying, granulating or packaging.",null
2612,Processing of medicines,炮制,páo zhì,null,A sequence of medicinal processing techniques to make materia medica into prepared pieces or different dosage forms. These techniques are adopted according to theories of Chinese medicine and medicinal properties.,null
2613,Medicinal processing,修治,xiū zhì,null,"The preliminary processing method of Chinese medicines, including purification, crushing and cutting.",修制
2614,Cleaning,纯净处理,chún jìng chǔ lǐ,null,"A method to remove dust, impurities and clean medicines by picking, selecting, sieving, scraping and brushing.",null
2615,Crushing,粉碎处理,fěn suì chǔ lǐ,null,"A method to grind medicines by pounding, grinding, filing and crushing.",null
2616,Cutting,切制处理,qiē zhì chǔ lǐ,null,"A method to cut medicines into pieces, blocks, threads or segments for preparation, drying, storage and weighing.",null
2617,Water processing,水制,shuǐ zhì,null,"A processing method to use water or other liquid auxiliary materials, including washing, bleaching, soaking, refining with water, etc.",null
2618,Moistening,润,rùn,null,"A method to moisten and soften medicines with water or other liquids before cutting, including water spraying, washing, soaking, infiltrating, drying, etc.",闷；伏
2619,Water-grinding,水飞,shuǐ fēi,null,A method to obtain extremely fine medicinal powder in water.,null
2620,Flushing,漂,piāo,null,"A method to soak medicines in static or running water for a period of time and exchange water regularly to remove the fishy smell, salt or toxic ingredients.",null
2621,Fire processing,火制,huǒ zhì,null,"A processing method to use heat or fire, including frying, roasting, calcining, etc.",null
2622,Stir-frying,炒,chǎo,null,"A method to stir fry medicines in a pot to a certain temperature degree, including plain frying or frying with adjuvants.",null
2623,Plain stir-frying,清炒,qīng chǎo,null,"A method to fry without adjuvants. According to the temperature, plain stir-frying is divided into fried yellow, scorch fry and charcoaled fry.",null
2624,Adjuvants,辅料,fǔ liào,null,"These include liquid materials such as alcohol, vinegar or honey and non-liquid materials such as starch, sugar or salt. The stir-fry method involves medicines and solid materials. These include stir- frying with bran, rice, soil, sand, talcum powder or clamshell powder.",null
2625,Stir-fry with liquid adjuvants,炙,zhì,null,"A method to use liquid adjuvants to stir-fry medicines to change the medicinal property, reinforce the efficacy and reduce side-effects. The excipients include wine, vinegar, salt, ginger, honey or oil.",null
2626,Calcine,煅,duàn,null,A method to calcine medicines directly or indirectly with a strong fire to fully extract the active ingredients and achieve maximal efficacy.,null
2627,Roast,煨,wēi,null,"A method to wrap medicines with water-mixed flour or wet paper, placed in the heat of the ash, or heated with oil-absorbent paper separated from the drug barrier so that the medicine is turned from raw to cooked.",null
2628,Processing with both water and fire,水火共制,shuǐ huǒ gòng zhì,null,A processing method to wrap medicines with wet tissue and place into fire or isolate with oil- absorbing sheets.,null
2629,Boiling,煮,zhǔ,null,A method to heat medicines with water or liquid excipients.,null
2630,Steaming,蒸,zhēng,null,A method to steam or heat with water.,null
2631,Blanching,燀,chǎn,null,A method to blanch in boiling water and take out immediately for drying process.,null
2632,Quenching,淬,cuì,null,A method to calcine medicines and place into cold water or liquid excipient quickly for easy crushing and absorption.,null
2633,Spoilage of Chinese medicines,中药变质,zhōng yào biàn zhì,null,"Physical or chemical changes in Chinese medicines due to inappropriate care in transportation or storage. These changes include mildew, worm-eaten, discolouration, flavour reversion, oiliness or air-slake and can directly affect the medicinal quality, efficacy and safety.",null
2634,Adverse reactions to Chinese medicines,中药不良反应,zhōng yào bù liáng fǎn yìng,null,"These include side-effects or toxic reactions. Following the standard dosage, side-effects of Chinese medicines are often mild and can resolve spontaneously without treatment. Toxic reactions are often caused by overdose or prolonged use of poisonous materia medica, and can do substantial damage to the organs and functions.",null
2635,Medicinal peculiarity,药物偏性,yào wù piān xìng,null,Peculiar features and actions of medicines.,null
2636,Properties of Chinese medicines,中药性能,zhōng yào xìng néng,null,"The core part of essential theories on Chinese medicines. These include four properties, five flavours, ascending/floating, descending/sinking, meridian tropism and toxicity.",null
2637,Characteristics of Chinese medicines,中药性状,zhōng yào xìng zhuàng,null,"Physical or chemical characteristics of Chinese medicines, including their shape, colour, odour, taste and properties.",null
2638,Four qi and and five flavours,四气五味,sì qì wǔ wèi,null,The basic properties and flavours of Chinese medicines.,null
2639,Four qi,四气,sì qì,null,"The four basic properties of medicines—cold, hot, warmth, and coolness.",四性
2640,Warm/heat-property medicines,温热药,wēn rè yào,null,Medicines to remove or alleviate cold-induced disorders.,null
2641,Cold/cool-property medicines,寒凉药,hán liáng yào,null,Medicines to remove or alleviate heat-induced disorders.,null
2642,Neutral-property medicines,平性药,píng xìng yào,null,Medicines with no obvious property of cold or heat.,null
2643,Pungent flavour,辛味,xīn wèi,null,"Medicines with a pungent flavour act to disperse/ circulate qi and move blood. They are indicated for exterior pattern, qi stagnation and blood stasis.",null
2644,Bitter flavour,苦味,kǔ wèi,null,"Medicines with a bitter flavour act to unblock, purge the intestine, dry dampness, clear fire and benefit yin. They are indicated for fire heat, dampness, adverse flow of qi and fire hyperactivity due to yin deficiency.",null
2645,Sweet flavour,甘味,gān wèi,null,"Medicines with a sweet flavour act to tonify, harmonize the middle jiao and relieve spasm. They are indicated for deficiency pattern, disharmony between the spleen and stomach, spasm, pain, etc.",null
2646,Sour flavour,酸味,suān wèi,null,"Medicines with a sour flavour act to astringe and secure. They are indicated for sweating (due
to deficiency), diarrhoea, frequent urination, enuresis, bleeding, etc. Some sour-flavoured medicines can generate fluids, calm worms and stop pain.",null
2647,Astringent flavour,涩味,sè wèi,null,"Medicines with an astringent flavour act to astringe and secure. They are indicated for sweating (due to deficiency), diarrhoea, frequent urination, enuresis, bleeding, etc.",null
2648,Salty flavour,咸味,xián wèi,null,"Medicines with a salty flavour act to purge the intestine, promote bowel movements and soften masses. They are indicated for constipation, goitre, scrofula, phlegm nodules and masses.",null
2649,Bland flavour,淡味,dàn wèi,null,"Medicines with a bland flavour act to drain dampness and promote urination. They are indicated for oedema, dysuria and leg swelling.",null
2650,Pungent and sweet transform into yang,辛甘化阳,xīn gān huà yáng,null,"The combination of a pungent and sweet flavour engenders a dispersing, outward and yang- assisting function. This includes a single medicine with both flavours or combined pungent and sweet medicines.",null
2651,Sour and sweet transform into yin,酸甘化阴,suān gān huà yīn,null,"The combination of a sour and sweet flavour engenders a fluid-generating, inward and astringing function. This includes a single medicinal with both flavours or combined sour and sweet medicines.",null
2652,Pungent opening and bitter descending,辛开苦降,xīn kāi kǔ jiàng,null,The combination of a pungent and bitter flavour allows for dispersal of obstruction and the descent of qi. This includes a single medicine with both flavours or combined pungent and bitter medicines.,null
2653,"Ascending, descending, floating and sinking",升降浮沉,shēng jiàng fú chén,null,"The four cardinal directionalities of medicines: ascending, descending, sinking and floating. These four directions are associated with the weight, property, preparation and combination of medicines.",null
2654,Ascending and floating medicines,升浮药,shēng fú yào,null,"Medicines to lift yang, release the exterior, induce vomiting, open the orifices, etc. They tend to go upward and outward.",null
2655,Sinking and descending medicines,沉降药,chén jiàng yào,null,"Medicines to purge the intestine, resolve water retention, submerge yang and astringe. They tend to go inward and downward.",null
2656,Meridian affinity,归经,guī jīng,Channel affinity,The ability of medicines to access a channel/ meridian. Meridian affinity is based on the theories on zang–fu organs and meridians.,null
2657,Meridian-guiding property,引经报使,yǐn jīng bào shǐ,null,A property that medicines have special role for certain zang–fu organs or meridians and can guide other medicines to reach the affected meridians and body parts.,null
2658,Meridian guide,引经药,yǐn jīng yào,Channel guide,Medicines with the ability to guide other ingredients of a formula to access a particular channel/meridian.,null
2659,Compatibility,配伍,pèi wǔ,Combination,"The combination, according to Chinese medicine theory, of two or more medicines to achieve a pre- determined clinical outcome.",null
2660,Seven compatibility methods,七情和合,qī qíng hé hé,null,"Compatibility methods of Chinese medicines, including the using of a single medicine, mutual reinforcement, mutual assistance, mutual restraint, mutual suppression, mutual inhibition and mutual opposition.",null
2661,Single medicine,单行,dān xíng,null,Use a single medicine alone to treat a disorder.,null
2662,Mutual reinforcement,相须,xiāng xū,null,Use two medicines sharing similar properties in combination to reinforce each other’s action.,null
2663,Mutual assistance,相使,xiāng shǐ,null,"Use two or more medicines sharing common efficacies in combination, one being the principal medicine while the others play a subsidiary role to reinforce the action of the principal one.",null
2664,Mutual restraint,相畏,xiāng wèi,null,"When two medicines are used in combination, the toxic or side-effects of one medicine can be reduced or eliminated by the other.",null
2665,Mutual suppression,相杀,xiāng shā,null,"When two medicines are used in combination, one medicine can reduce or eliminate the toxic or side- effects of the other.",null
2666,Mutual aversion,相恶,xiāng wù,null,"When two medicines are used in combination, the positive effects of one medicine can be reduced or eliminated by the other.",null
2667,Mutual opposition,相反,xiāng fǎn,Mutual incompatibility,"When two medicines are used in combination, their toxic or side-effects can be produced or enhanced.",null
